1,ПМИ-31,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
2,ПМИ-32,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
3,ПМИ-33,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
4,ПМ-31,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
5,ПМ-32,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
6,ПМ-33,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
7,ПМ-34,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
8,ПМ-35,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
9,ПМИ-21,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
10,ПМИ-22,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
11,ПМИ-23,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
12,ПМ-21,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
13,ПМ-23,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
14,ПМ-24,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
15,ПМ-25,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
16,ПМИ-11,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
17,ПМИ-12,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
18,ПМ-12,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
19,ПМ-13,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
20,ПМ-14,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
21,ПМ-15,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
22,ПМИ-01,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
23,ПМИ-02,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
24,ПМ-01,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
25,ПМ-02,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
26,ПМ-04,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
28,ПММ-31,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
29,ПММ-32,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
30,ПММ-33,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
31,ПМИМ-31,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
32,ПМ-41,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
33,ПМ-42,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
34,ПМ-43,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
35,ПМ-44,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
36,ПМ-45,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
37,ПМИМ-41,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
38,ПММ-41,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
39,ПММ-42,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
40,ПММ-43,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
41,ПМИ-41,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
42,ПМИ-42,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
43,ПМИ-43,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
44,Все группы,2024-05-06 11:57:08.534+07,2024-05-06 11:57:08.534+07
